page,keyword,count,density,inTitle,inH1,inH2
"/","pilot","58","4.09","true","true","true"
"/","flight school","1","0.07","false","false","false"
"/","pilot training","4","0.28","false","false","false"
"/","private pilot","10","0.7","false","false","false"
"/","commercial pilot","5","0.35","false","false","false"
"/500.html","pilot","24","9.34","true","false","true"
"/500.html","flight school","1","0.39","false","false","false"
"/500.html","pilot training","4","1.56","false","false","false"
"/500.html","private pilot","4","1.56","false","false","false"
"/500.html","commercial pilot","3","1.17","false","false","false"
"/404.html","pilot","24","9.41","true","false","true"
"/404.html","flight school","1","0.39","false","false","false"
"/404.html","pilot training","4","1.57","false","false","false"
"/404.html","private pilot","4","1.57","false","false","false"
"/404.html","commercial pilot","3","1.18","false","false","false"
"/privacy-policy/","pilot","26","4.49","true","false","true"
"/privacy-policy/","flight school","1","0.17","false","false","false"
"/privacy-policy/","pilot training","4","0.69","false","false","false"
"/privacy-policy/","private pilot","4","0.69","false","false","false"
"/privacy-policy/","commercial pilot","3","0.52","false","false","false"
"/terms-of-service/","pilot","37","4.01","true","false","true"
"/terms-of-service/","flight school","1","0.11","false","false","false"
"/terms-of-service/","pilot training","4","0.43","false","false","false"
"/terms-of-service/","private pilot","4","0.43","false","false","false"
"/terms-of-service/","commercial pilot","3","0.33","false","false","false"
"/pricing/","pilot","43","4.53","true","true","true"
"/pricing/","flight school","1","0.11","false","false","false"
"/pricing/","pilot training","5","0.53","false","false","false"
"/pricing/","private pilot","9","0.95","false","false","false"
"/pricing/","commercial pilot","5","0.53","false","false","false"
"/new-to-flying/","pilot","46","4.13","true","true","true"
"/new-to-flying/","flight school","1","0.09","false","false","false"
"/new-to-flying/","pilot training","4","0.36","false","false","false"
"/new-to-flying/","private pilot","9","0.81","false","false","false"
"/new-to-flying/","commercial pilot","5","0.45","false","false","false"
"/faqs/","pilot","53","2.39","true","false","true"
"/faqs/","flight school","2","0.09","false","false","false"
"/faqs/","pilot training","6","0.27","false","false","false"
"/faqs/","private pilot","12","0.54","false","false","false"
"/faqs/","commercial pilot","6","0.27","false","false","false"
"/flight-training/","pilot","39","5.23","true","false","true"
"/flight-training/","flight school","1","0.13","false","false","false"
"/flight-training/","pilot training","4","0.54","false","false","false"
"/flight-training/","private pilot","6","0.81","false","false","false"
"/flight-training/","commercial pilot","5","0.67","false","false","false"
"/enroll-confirmation/","pilot","25","9.51","true","false","true"
"/enroll-confirmation/","flight school","1","0.38","false","false","false"
"/enroll-confirmation/","pilot training","4","1.52","false","false","false"
"/enroll-confirmation/","private pilot","4","1.52","false","false","false"
"/enroll-confirmation/","commercial pilot","3","1.14","false","false","false"
"/contact/","pilot","36","4.44","true","true","true"
"/contact/","flight school","1","0.12","false","false","false"
"/contact/","pilot training","4","0.49","false","false","false"
"/contact/","private pilot","7","0.86","false","false","false"
"/contact/","commercial pilot","3","0.37","false","false","false"
"/contact-confirmation/","pilot","25","9.47","true","false","true"
"/contact-confirmation/","flight school","1","0.38","false","false","false"
"/contact-confirmation/","pilot training","4","1.52","false","false","false"
"/contact-confirmation/","private pilot","4","1.52","false","false","false"
"/contact-confirmation/","commercial pilot","3","1.14","false","false","false"
"/discovery-flight/","pilot","41","4.25","true","false","true"
"/discovery-flight/","flight school","1","0.1","false","false","false"
"/discovery-flight/","pilot training","4","0.41","false","false","false"
"/discovery-flight/","private pilot","8","0.83","false","false","false"
"/discovery-flight/","commercial pilot","4","0.41","false","false","false"
"/airline-pilot-track/","pilot","46","4.38","true","true","true"
"/airline-pilot-track/","flight school","1","0.1","false","false","false"
"/airline-pilot-track/","pilot training","4","0.38","false","false","false"
"/airline-pilot-track/","private pilot","8","0.76","false","false","false"
"/airline-pilot-track/","commercial pilot","6","0.57","false","false","false"
"/about/","pilot","42","4.53","true","true","true"
"/about/","flight school","2","0.22","false","true","false"
"/about/","pilot training","4","0.43","false","false","false"
"/about/","private pilot","6","0.65","false","false","false"
"/about/","commercial pilot","5","0.54","false","false","false"
"/blog/","pilot","50","7.28","false","false","true"
"/blog/","flight school","1","0.15","false","false","false"
"/blog/","pilot training","4","0.58","false","false","false"
"/blog/","private pilot","4","0.58","false","false","false"
"/blog/","commercial pilot","3","0.44","false","false","false"
"/discovery-flight-confirmation/","pilot","25","8.68","true","false","true"
"/discovery-flight-confirmation/","flight school","1","0.35","false","false","false"
"/discovery-flight-confirmation/","pilot training","4","1.39","false","false","false"
"/discovery-flight-confirmation/","private pilot","4","1.39","false","false","false"
"/discovery-flight-confirmation/","commercial pilot","3","1.04","false","false","false"
"/pilot-training/overland-park-ks/","pilot","56","4.08","true","true","true"
"/pilot-training/overland-park-ks/","flight school","3","0.22","false","false","false"
"/pilot-training/overland-park-ks/","pilot training","5","0.36","false","true","false"
"/pilot-training/overland-park-ks/","private pilot","9","0.66","false","false","false"
"/pilot-training/overland-park-ks/","commercial pilot","5","0.36","false","false","false"
"/pilot-training/shawnee-ks/","pilot","54","4.13","true","true","true"
"/pilot-training/shawnee-ks/","flight school","1","0.08","false","false","false"
"/pilot-training/shawnee-ks/","pilot training","5","0.38","false","true","false"
"/pilot-training/shawnee-ks/","private pilot","9","0.69","false","false","false"
"/pilot-training/shawnee-ks/","commercial pilot","5","0.38","false","false","false"
"/pilot-training/olathe-ks/","pilot","58","4.33","true","true","true"
"/pilot-training/olathe-ks/","flight school","1","0.07","false","false","false"
"/pilot-training/olathe-ks/","pilot training","7","0.52","false","true","false"
"/pilot-training/olathe-ks/","private pilot","9","0.67","false","false","false"
"/pilot-training/olathe-ks/","commercial pilot","5","0.37","false","false","false"
"/pilot-training/new-century-ks/","pilot","58","4.05","true","true","true"
"/pilot-training/new-century-ks/","flight school","1","0.07","false","false","false"
"/pilot-training/new-century-ks/","pilot training","8","0.56","false","true","false"
"/pilot-training/new-century-ks/","private pilot","10","0.7","false","false","false"
"/pilot-training/new-century-ks/","commercial pilot","5","0.35","false","false","false"
"/pilot-training/lenexa-ks/","pilot","55","4.15","true","true","true"
"/pilot-training/lenexa-ks/","flight school","1","0.08","false","false","false"
"/pilot-training/lenexa-ks/","pilot training","5","0.38","false","true","false"
"/pilot-training/lenexa-ks/","private pilot","9","0.68","false","false","false"
"/pilot-training/lenexa-ks/","commercial pilot","5","0.38","false","false","false"
"/pilot-training/johnson-county-ks/","pilot","58","4.18","true","true","true"
"/pilot-training/johnson-county-ks/","flight school","1","0.07","false","false","false"
"/pilot-training/johnson-county-ks/","pilot training","7","0.5","false","true","false"
"/pilot-training/johnson-county-ks/","private pilot","9","0.65","false","false","false"
"/pilot-training/johnson-county-ks/","commercial pilot","5","0.36","false","false","false"
"/pilot-training/kansas-city-ks/","pilot","56","3.97","true","true","true"
"/pilot-training/kansas-city-ks/","flight school","1","0.07","false","false","false"
"/pilot-training/kansas-city-ks/","pilot training","5","0.35","false","true","false"
"/pilot-training/kansas-city-ks/","private pilot","9","0.64","false","false","false"
"/pilot-training/kansas-city-ks/","commercial pilot","5","0.35","false","false","false"
"/flight-training/private-pilot/","pilot","38","4.63","true","true","true"
"/flight-training/private-pilot/","flight school","2","0.24","false","false","false"
"/flight-training/private-pilot/","pilot training","4","0.49","false","false","false"
"/flight-training/private-pilot/","private pilot","12","1.46","true","true","true"
"/flight-training/private-pilot/","commercial pilot","4","0.49","false","false","false"
"/flight-training/instrument-rating/","pilot","36","4.3","true","false","true"
"/flight-training/instrument-rating/","flight school","1","0.12","false","false","false"
"/flight-training/instrument-rating/","pilot training","4","0.48","false","false","false"
"/flight-training/instrument-rating/","private pilot","6","0.72","false","false","false"
"/flight-training/instrument-rating/","commercial pilot","4","0.48","false","false","false"
"/pilot-training/gardner-ks/","pilot","58","4.33","true","true","true"
"/pilot-training/gardner-ks/","flight school","1","0.07","false","false","false"
"/pilot-training/gardner-ks/","pilot training","7","0.52","false","true","false"
"/pilot-training/gardner-ks/","private pilot","9","0.67","false","false","false"
"/pilot-training/gardner-ks/","commercial pilot","5","0.37","false","false","false"
"/flight-training/sport-pilot/","pilot","39","5.78","true","true","true"
"/flight-training/sport-pilot/","flight school","1","0.15","false","false","false"
"/flight-training/sport-pilot/","pilot training","7","1.04","false","false","true"
"/flight-training/sport-pilot/","private pilot","6","0.89","false","false","false"
"/flight-training/sport-pilot/","commercial pilot","4","0.59","false","false","false"
"/flight-training/certified-flight-instructor-cfi/","pilot","33","4.09","true","false","true"
"/flight-training/certified-flight-instructor-cfi/","flight school","1","0.12","false","false","false"
"/flight-training/certified-flight-instructor-cfi/","pilot training","4","0.5","false","false","false"
"/flight-training/certified-flight-instructor-cfi/","private pilot","5","0.62","false","false","false"
"/flight-training/certified-flight-instructor-cfi/","commercial pilot","4","0.5","false","false","false"
"/flight-training/commercial-pilot/","pilot","42","4.91","true","true","true"
"/flight-training/commercial-pilot/","flight school","1","0.12","false","false","false"
"/flight-training/commercial-pilot/","pilot training","5","0.58","true","false","true"
"/flight-training/commercial-pilot/","private pilot","7","0.82","false","false","false"
"/flight-training/commercial-pilot/","commercial pilot","10","1.17","true","true","true"
"/flight-training/certified-flight-instructor-instrument-cfii/","pilot","36","4.23","false","false","true"
"/flight-training/certified-flight-instructor-instrument-cfii/","flight school","1","0.12","false","false","false"
"/flight-training/certified-flight-instructor-instrument-cfii/","pilot training","4","0.47","false","false","false"
"/flight-training/certified-flight-instructor-instrument-cfii/","private pilot","5","0.59","false","false","false"
"/flight-training/certified-flight-instructor-instrument-cfii/","commercial pilot","4","0.47","false","false","false"
"/blog/why-now-is-the-best-time-to-become-a-pilot/","pilot","55","4.03","true","true","true"
"/blog/why-now-is-the-best-time-to-become-a-pilot/","flight school","2","0.15","false","false","false"
"/blog/why-now-is-the-best-time-to-become-a-pilot/","pilot training","4","0.29","false","false","false"
"/blog/why-now-is-the-best-time-to-become-a-pilot/","private pilot","6","0.44","false","false","false"
"/blog/why-now-is-the-best-time-to-become-a-pilot/","commercial pilot","3","0.22","false","false","false"
"/about/our-fleet/","pilot","37","4.15","true","false","true"
"/about/our-fleet/","flight school","1","0.11","false","false","false"
"/about/our-fleet/","pilot training","4","0.45","false","false","false"
