Keyword,Position,Previous Position,Position Difference,Search Volume,Keyword Difficulty,CPC,URL,Traffic,Traffic (%),Traffic Cost,Traffic Cost (%),Competition,Search Intent,Trends
flying lessons kansas,1,1,0,110,39,2.88,https://pilotinstructionalcenter.com/,14,100,40,100,0.4,commercial,"34, 28, 15, 28, 65, 43, 28, 21, 43, 53, 34, 28"
flight school kansas city,16,16,0,110,23,0,https://pilotinstructionalcenter.com/,0,0,0,0,0,commercial,"8, 8, 0, 8, 8, 8, 8, 5, 2, 8, 8, 8"
flight school kansas city,64,64,0,110,23,0,https://pilotinstructionalcenter.com/pilot-training/lenexa-ks,0,0,0,0,0,commercial,"8, 8, 0, 8, 8, 8, 8, 5, 2, 8, 8, 8"
flight school kansas city,71,64,-7,110,23,0,https://pilotinstructionalcenter.com/pilot-training/lenexa-ks,0,0,0,0,0,commercial,"8, 8, 0, 8, 8, 8, 8, 5, 2, 8, 8, 8"
inflight pilot training,52,0,0,1300,54,2.98,https://pilotinstructionalcenter.com/,0,0,0,0,0.21,navigational,"68, 68, 52, 52, 68, 68, 46, 84, 68, 68, 52, 46"
inflight pilot training,80,0,0,1300,54,2.98,https://pilotinstructionalcenter.com/,0,0,0,0,0.21,navigational,"68, 68, 52, 52, 68, 68, 46, 84, 68, 68, 52, 46"
kansas city flight training,66,66,0,30,33,2.57,https://pilotinstructionalcenter.com/about/our-team/,0,0,0,0,0.79,commercial,"5, 11, 11, 5, 11, 11, 41, 29, 100, 0, 0, 0"
flight training kansas city,18,27,9,140,22,2.57,https://pilotinstructionalcenter.com/,0,0,0,0,0.79,commercial,"22, 18, 18, 29, 81, 18, 29, 29, 22, 18, 29, 29"
flight training kansas city,80,0,0,140,22,2.57,https://pilotinstructionalcenter.com/flight-training/,0,0,0,0,0.79,commercial,"22, 18, 18, 29, 81, 18, 29, 29, 22, 18, 29, 29"
pilot training kansas city,20,20,0,170,21,2.57,https://pilotinstructionalcenter.com/,0,0,0,0,0.79,informational,"28, 100, 17, 28, 82, 82, 35, 35, 66, 53, 7, 28"
new century air service,21,0,0,260,18,3.65,https://pilotinstructionalcenter.com/,0,0,0,0,0.04,navigational,"43, 54, 54, 66, 66, 66, 66, 66, 54, 54, 54, 54"
centerline aviation,85,0,0,210,16,3.55,https://pilotinstructionalcenter.com/,0,0,0,0,0.1,informational,"80, 65, 53, 65, 65, 80, 100, 80, 80, 80, 65, 65"
flying lessons kansas,55,0,0,110,39,2.88,https://pilotinstructionalcenter.com/flight-training/,0,0,0,0,0.4,commercial,"34, 28, 15, 28, 65, 43, 28, 21, 43, 53, 34, 28"
kansas flight training,40,40,0,90,31,2.88,https://pilotinstructionalcenter.com/,0,0,0,0,0.4,commercial,"66, 23, 23, 33, 52, 52, 52, 66, 42, 52, 52, 42"
kansas city pilot training,25,25,0,210,35,2.57,https://pilotinstructionalcenter.com/,0,0,0,0,0.79,commercial,"65, 81, 43, 34, 65, 81, 81, 100, 81, 43, 65, 43"
fly training center,68,0,0,70,57,5.27,https://pilotinstructionalcenter.com/,0,0,0,0,0.21,commercial,"50, 50, 64, 64, 50, 50, 64, 50, 50, 100, 28, 50"
flight lessons kansas city,15,14,-1,140,35,2.57,https://pilotinstructionalcenter.com/,0,0,0,0,0.79,commercial,"28, 23, 23, 35, 100, 23, 35, 35, 28, 23, 35, 35"
flight lessons kansas city,78,0,0,140,35,2.57,https://pilotinstructionalcenter.com/pilot-training/,0,0,0,0,0.79,commercial,"28, 23, 23, 35, 100, 23, 35, 35, 28, 23, 35, 35"
kixd airport,58,0,0,140,23,0,https://pilotinstructionalcenter.com/about/our-fleet/,0,0,0,0,0.01,informational,"18, 22, 22, 18, 29, 100, 22, 22, 29, 22, 29, 22"
learning to fly kc,76,0,0,30,9,1.14,https://pilotinstructionalcenter.com/,0,0,0,0,0.2,"navigational, transactional","14, 14, 78, 14, 14, 14, 14, 14, 14, 14, 14, 14"
flight schools in kansas,24,28,4,170,23,2.88,https://pilotinstructionalcenter.com/,0,0,0,0,0.4,commercial,"81, 34, 53, 43, 43, 43, 53, 65, 65, 81, 34, 34"
learn to fly kansas city,20,0,0,30,43,1.14,https://pilotinstructionalcenter.com/,0,0,0,0,0.2,commercial,"18, 18, 100, 18, 18, 18, 18, 18, 18, 18, 18, 18"
learn to fly kansas city,62,0,0,30,43,1.14,https://pilotinstructionalcenter.com/flight-training/,0,0,0,0,0.2,commercial,"18, 18, 100, 18, 18, 18, 18, 18, 18, 18, 18, 18"
pilot staff,81,0,0,30,25,2.87,https://pilotinstructionalcenter.com/about/our-team/,0,0,0,0,0.42,informational,"18, 18, 18, 100, 18, 18, 18, 18, 18, 18, 18, 18"
century flight,95,0,0,30,26,14.75,https://pilotinstructionalcenter.com/,0,0,0,0,0.05,informational,"19, 26, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7"
cessna pilot training center near me,99,0,0,30,35,1.8,https://pilotinstructionalcenter.com/,0,0,0,0,0.67,transactional,"22, 22, 22, 22, 22, 22, 55, 55, 22, 55, 22, 22"
cessna pilot center,49,49,0,170,25,2.81,https://pilotinstructionalcenter.com/about/our-fleet/,0,0,0,0,0.11,"informational, transactional","53, 42, 80, 53, 80, 65, 100, 80, 53, 53, 42, 65"
kc flight training,26,26,0,140,46,2.57,https://pilotinstructionalcenter.com/,0,0,0,0,0.79,commercial,"35, 14, 43, 22, 14, 54, 18, 29, 54, 43, 6, 22"
flying lessons kansas city,14,40,26,110,35,2.57,https://pilotinstructionalcenter.com/,0,0,0,0,0.79,commercial,"28, 28, 17, 17, 23, 28, 53, 35, 28, 23, 23, 17"
flying lessons kansas city,68,0,0,110,35,2.57,https://pilotinstructionalcenter.com/flight-training/,0,0,0,0,0.79,commercial,"28, 28, 17, 17, 23, 28, 53, 35, 28, 23, 23, 17"
flying lessons kansas city,69,0,0,110,35,2.57,https://pilotinstructionalcenter.com/flight-training/,0,0,0,0,0.79,commercial,"28, 28, 17, 17, 23, 28, 53, 35, 28, 23, 23, 17"
flying lessons kansas city,85,0,0,110,35,2.57,https://pilotinstructionalcenter.com/pilot-training/,0,0,0,0,0.79,commercial,"28, 28, 17, 17, 23, 28, 53, 35, 28, 23, 23, 17"
flying lessons kansas city mo,20,0,0,40,43,2.57,https://pilotinstructionalcenter.com/,0,0,0,0,0.79,commercial,"7, 50, 14, 7, 35, 21, 28, 7, 0, 21, 50, 100"
pilot training wichita ks,77,77,0,110,33,1.84,https://pilotinstructionalcenter.com/,0,0,0,0,0.49,commercial,"34, 65, 15, 34, 65, 53, 53, 26, 42, 65, 15, 15"
flying clubs in kansas city,64,0,0,70,9,2.56,https://pilotinstructionalcenter.com/,0,0,0,0,0.14,navigational,"55, 77, 33, 77, 100, 100, 77, 100, 100, 100, 11, 22"
kansas city pilot,23,23,0,40,27,0,https://pilotinstructionalcenter.com/,0,0,0,0,0.31,commercial,"18, 100, 100, 18, 18, 18, 18, 18, 18, 18, 18, 18"
kansas city flight schools,57,57,0,90,19,0,https://pilotinstructionalcenter.com/,0,0,0,0,0,informational,"11, 26, 3, 15, 19, 100, 65, 65, 100, 19, 3, 26"
