Keyword,Position,Previous Position,Position Difference,Search Volume,Keyword Difficulty,CPC,URL,Traffic,Traffic (%),Traffic Cost,Traffic Cost (%),Competition,Search Intent,Trends
pilot permit,1,1,0,880,40,2.69,https://pilotinstructionalcenter.com/blog/is-it-true-pilots-make-over-300000-a-year/,28,21.05,75,23.58,0.43,informational,"0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 81, 0"
private jet pilot salary,1,1,0,880,19,3.34,https://pilotinstructionalcenter.com/blog/is-it-true-pilots-make-over-300000-a-year/,28,21.05,93,29.24,0.02,informational,"55, 45, 45, 62, 55, 55, 55, 45, 100, 55, 36, 36"
flying lessons kansas,1,1,0,110,16,2.81,https://pilotinstructionalcenter.com/,14,10.52,39,12.26,0.29,commercial,"28, 65, 43, 28, 21, 43, 53, 34, 28, 34, 21, 34"
how much does southwest airlines pilot make,1,1,0,260,25,1.98,https://pilotinstructionalcenter.com/blog/is-it-true-pilots-make-over-300000-a-year/,10,7.51,19,5.97,0.33,informational,"1, 0, 100, 6, 45, 0, 0, 0, 62, 0, 0, 0"
how much does a pilot for southwest make,1,1,0,260,24,1.98,https://pilotinstructionalcenter.com/blog/is-it-true-pilots-make-over-300000-a-year/,10,7.51,19,5.97,0.33,informational,"0, 0, 100, 6, 45, 0, 0, 0, 62, 0, 0, 0"
delta airlines pilot careers,2,2,0,170,50,2.64,https://pilotinstructionalcenter.com/blog/is-it-true-pilots-make-over-300000-a-year/,6,4.51,15,4.71,0.04,commercial,"13, 20, 13, 8, 20, 8, 16, 5, 5, 6, 5, 10"
average salary of an airline pilot,1,1,0,170,39,4.69,https://pilotinstructionalcenter.com/blog/is-it-true-pilots-make-over-300000-a-year/,6,4.51,28,8.8,0.01,informational,"11, 4, 2, 2, 0, 7, 8, 4, 3, 52, 1, 3"
how much does it cost to get a flying license,1,0,0,140,31,1.45,https://pilotinstructionalcenter.com/blog/is-it-true-pilots-make-over-300000-a-year/,5,3.75,7,2.2,0.34,informational,"1, 100, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0"
best flight schools to become a commercial pilot,1,1,0,140,37,3.69,https://pilotinstructionalcenter.com/blog/is-it-true-pilots-make-over-300000-a-year/,4,3,14,4.4,0.42,commercial,"23, 44, 29, 23, 44, 23, 9, 6, 5, 9, 12, 12"
cost to get ppl,1,1,0,260,20,1.34,https://pilotinstructionalcenter.com/blog/is-it-true-pilots-make-over-300000-a-year/,3,2.25,4,1.25,0.23,informational,"23, 44, 66, 54, 44, 23, 66, 54, 18, 54, 44, 44"
pilot do,1,0,0,90,30,0,https://pilotinstructionalcenter.com/blog/is-it-true-pilots-make-over-300000-a-year/,3,2.25,0,0,0.02,informational,"100, 100, 100, 36, 63, 63, 63, 100, 81, 63, 63, 63"
what is the salary for pilot,1,1,0,90,48,0,https://pilotinstructionalcenter.com/blog/is-it-true-pilots-make-over-300000-a-year/,3,2.25,0,0,0.01,informational,"64, 52, 41, 64, 100, 64, 52, 23, 23, 29, 29, 29"
agricultural pilot salary,1,1,0,110,9,0,https://pilotinstructionalcenter.com/blog/is-it-true-pilots-make-over-300000-a-year/,3,2.25,0,0,0.33,informational,"42, 52, 23, 42, 80, 100, 52, 42, 42, 52, 33, 33"
delta airlines pilot wings,2,2,0,110,21,0,https://pilotinstructionalcenter.com/blog/is-it-true-pilots-make-over-300000-a-year/,3,2.25,0,0,0.39,informational,"53, 42, 42, 65, 42, 42, 42, 34, 26, 34, 42, 42"
ppl timeline,2,2,0,70,3,1.85,https://pilotinstructionalcenter.com/blog/is-it-true-pilots-make-over-300000-a-year/,2,1.5,3,0.94,0.05,informational,"100, 100, 18, 18, 18, 100, 100, 18, 18, 18, 100, 18"
pilots average income,1,1,0,50,38,0,https://pilotinstructionalcenter.com/blog/is-it-true-pilots-make-over-300000-a-year/,2,1.5,0,0,0.02,informational,"0, 0, 0, 81, 63, 100, 0, 0, 81, 81, 63, 81"
pilot does,1,0,0,90,22,0,https://pilotinstructionalcenter.com/blog/is-it-true-pilots-make-over-300000-a-year/,1,0.75,0,0,0.02,informational,"100, 100, 100, 36, 63, 63, 63, 100, 81, 63, 63, 63"
