Keyword,Position,Previous Position,Position Difference,Search Volume,Keyword Difficulty,CPC,URL,Traffic,Traffic (%),Traffic Cost,Traffic Cost (%),Competition,Search Intent,Trends
schooling for pilot,1,0,0,8100,29,4.12,https://pilotinstructionalcenter.com/blog/is-it-true-pilots-make-over-300000-a-year/,332,63.35,1367,68.86,0.57,informational,"81, 100, 81, 0, 3, 54, 100, 100, 66, 66, 54, 100"
average pilot salary,1,0,0,1900,47,4.69,https://pilotinstructionalcenter.com/blog/is-it-true-pilots-make-over-300000-a-year/,61,11.64,286,14.4,0.01,informational,"36, 36, 36, 24, 36, 36, 15, 24, 36, 36, 28, 24"
pilot permit,1,0,0,880,40,2.69,https://pilotinstructionalcenter.com/blog/is-it-true-pilots-make-over-300000-a-year/,28,5.34,75,3.77,0.43,informational,"0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 81, 0"
private jet pilot salary,1,0,0,880,19,3.34,https://pilotinstructionalcenter.com/blog/is-it-true-pilots-make-over-300000-a-year/,28,5.34,93,4.68,0.02,informational,"55, 45, 45, 62, 55, 55, 55, 45, 100, 55, 36, 36"
flying lessons kansas,1,1,0,110,39,2.88,https://pilotinstructionalcenter.com/,14,2.67,40,2.01,0.4,commercial,"34, 28, 15, 28, 65, 43, 28, 21, 43, 53, 34, 28"
how much does southwest airlines pilot make,1,0,0,260,25,1.98,https://pilotinstructionalcenter.com/blog/is-it-true-pilots-make-over-300000-a-year/,10,1.9,19,0.95,0.33,informational,"1, 0, 100, 6, 45, 0, 0, 0, 62, 0, 0, 0"
how much does a pilot for southwest make,1,0,0,260,24,1.98,https://pilotinstructionalcenter.com/blog/is-it-true-pilots-make-over-300000-a-year/,10,1.9,19,0.95,0.33,informational,"0, 0, 100, 6, 45, 0, 0, 0, 62, 0, 0, 0"
aviation schools in kansas,1,0,0,90,46,2.88,https://pilotinstructionalcenter.com/,7,1.33,20,1,0.4,commercial,"52, 42, 23, 33, 80, 42, 33, 33, 42, 66, 23, 33"
delta airlines pilot careers,2,0,0,170,50,2.64,https://pilotinstructionalcenter.com/blog/is-it-true-pilots-make-over-300000-a-year/,6,1.14,15,0.75,0.04,commercial,"13, 20, 13, 8, 20, 8, 16, 5, 5, 6, 5, 10"
average salary of an airline pilot,1,0,0,170,39,4.69,https://pilotinstructionalcenter.com/blog/is-it-true-pilots-make-over-300000-a-year/,6,1.14,28,1.41,0.01,informational,"11, 4, 2, 2, 0, 7, 8, 4, 3, 52, 1, 3"
best flight schools to become a commercial pilot,1,0,0,140,37,3.69,https://pilotinstructionalcenter.com/blog/is-it-true-pilots-make-over-300000-a-year/,4,0.76,14,0.7,0.42,commercial,"23, 44, 29, 23, 44, 23, 9, 6, 5, 9, 12, 12"
cost to get ppl,1,0,0,260,20,1.34,https://pilotinstructionalcenter.com/blog/is-it-true-pilots-make-over-300000-a-year/,3,0.57,4,0.2,0.23,informational,"23, 44, 66, 54, 44, 23, 66, 54, 18, 54, 44, 44"
what is the salary for pilot,1,0,0,90,48,0,https://pilotinstructionalcenter.com/blog/is-it-true-pilots-make-over-300000-a-year/,3,0.57,0,0,0.01,informational,"64, 52, 41, 64, 100, 64, 52, 23, 23, 29, 29, 29"
agricultural pilot salary,1,0,0,110,9,0,https://pilotinstructionalcenter.com/blog/is-it-true-pilots-make-over-300000-a-year/,3,0.57,0,0,0.33,informational,"42, 52, 23, 42, 80, 100, 52, 42, 42, 52, 33, 33"
delta airlines pilot wings,2,0,0,110,21,0,https://pilotinstructionalcenter.com/blog/is-it-true-pilots-make-over-300000-a-year/,3,0.57,0,0,0.39,informational,"53, 42, 42, 65, 42, 42, 42, 34, 26, 34, 42, 42"
ppl timeline,2,0,0,70,3,1.85,https://pilotinstructionalcenter.com/blog/is-it-true-pilots-make-over-300000-a-year/,2,0.38,3,0.15,0.05,informational,"100, 100, 18, 18, 18, 100, 100, 18, 18, 18, 100, 18"
pilots average income,1,0,0,50,38,0,https://pilotinstructionalcenter.com/blog/is-it-true-pilots-make-over-300000-a-year/,2,0.38,0,0,0.02,informational,"0, 0, 0, 81, 63, 100, 0, 0, 81, 81, 63, 81"
monthly pilot salary,1,0,0,90,39,0,https://pilotinstructionalcenter.com/blog/is-it-true-pilots-make-over-300000-a-year/,1,0.19,0,0,0.33,informational,"52, 52, 52, 100, 66, 42, 33, 23, 23, 19, 14, 14"
pilot studying,1,0,0,70,50,2.89,https://pilotinstructionalcenter.com/blog/is-it-true-pilots-make-over-300000-a-year/,1,0.19,2,0.1,0.33,informational,"8, 0, 0, 0, 35, 0, 100, 0, 2, 0, 0, 54"
summit flight academy,41,0,0,260,22,2.42,https://pilotinstructionalcenter.com/,0,0,0,0,0.11,navigational,"43, 66, 66, 66, 82, 82, 82, 66, 66, 82, 66, 100"
flight school kansas city,13,16,3,110,20,0,https://pilotinstructionalcenter.com/,0,0,0,0,0,commercial,"8, 8, 0, 8, 8, 8, 8, 5, 2, 8, 8, 8"
flight school kansas city,41,0,0,110,20,0,https://pilotinstructionalcenter.com/blog/tag/kansas-city-flight-school/,0,0,0,0,0,commercial,"8, 8, 0, 8, 8, 8, 8, 5, 2, 8, 8, 8"
flight school kansas city,72,0,0,110,20,0,https://pilotinstructionalcenter.com/flight-training/,0,0,0,0,0,commercial,"8, 8, 0, 8, 8, 8, 8, 5, 2, 8, 8, 8"
premier flight center,52,0,0,390,10,2.43,https://pilotinstructionalcenter.com/,0,0,0,0,0.08,commercial,"81, 54, 54, 66, 66, 81, 81, 81, 81, 81, 54, 54"
inflight pilot training,52,52,0,1300,54,2.98,https://pilotinstructionalcenter.com/,0,0,0,0,0.21,navigational,"68, 68, 52, 52, 68, 68, 46, 84, 68, 68, 52, 46"
inflight pilot training,80,52,-28,1300,54,2.98,https://pilotinstructionalcenter.com/,0,0,0,0,0.21,navigational,"68, 68, 52, 52, 68, 68, 46, 84, 68, 68, 52, 46"
aviation schools in kansas,22,0,0,90,46,2.88,https://pilotinstructionalcenter.com/,0,0,0,0,0.4,commercial,"52, 42, 23, 33, 80, 42, 33, 33, 42, 66, 23, 33"
aviation schools in kansas,30,0,0,90,46,2.88,https://pilotinstructionalcenter.com/,0,0,0,0,0.4,commercial,"52, 42, 23, 33, 80, 42, 33, 33, 42, 66, 23, 33"
kansas city flight training,12,0,0,30,20,2.57,https://pilotinstructionalcenter.com/,0,0,0,0,0.79,commercial,"5, 11, 11, 5, 11, 11, 41, 29, 100, 0, 0, 0"
kansas city flight training,41,0,0,30,20,2.57,https://pilotinstructionalcenter.com/blog/tag/kansas-city-flight-school/,0,0,0,0,0.79,commercial,"5, 11, 11, 5, 11, 11, 41, 29, 100, 0, 0, 0"
kansas city flight training,65,0,0,30,20,2.57,https://pilotinstructionalcenter.com/flight-training/,0,0,0,0,0.79,commercial,"5, 11, 11, 5, 11, 11, 41, 29, 100, 0, 0, 0"
flight training kansas city,18,18,0,140,22,2.57,https://pilotinstructionalcenter.com/,0,0,0,0,0.79,commercial,"22, 18, 18, 29, 81, 18, 29, 29, 22, 18, 29, 29"
flight training kansas city,80,80,0,140,22,2.57,https://pilotinstructionalcenter.com/flight-training/,0,0,0,0,0.79,commercial,"22, 18, 18, 29, 81, 18, 29, 29, 22, 18, 29, 29"
pilot training kansas city,11,20,9,170,23,2.57,https://pilotinstructionalcenter.com/,0,0,0,0,0.79,informational,"28, 100, 17, 28, 82, 82, 35, 35, 66, 53, 7, 28"
pilot training kansas city,64,0,0,170,23,2.57,https://pilotinstructionalcenter.com/pilot-training/,0,0,0,0,0.79,informational,"28, 100, 17, 28, 82, 82, 35, 35, 66, 53, 7, 28"
pilot training kansas city,72,0,0,170,23,2.57,https://pilotinstructionalcenter.com/discovery-flight/,0,0,0,0,0.79,informational,"28, 100, 17, 28, 82, 82, 35, 35, 66, 53, 7, 28"
pilot institution,1,0,0,40,60,1.27,https://pilotinstructionalcenter.com/,0,0,0,0,0.34,navigational,"81, 0, 0, 0, 1, 0, 1, 1, 0, 1, 1, 0"
pilot institution,34,0,0,40,60,1.27,https://pilotinstructionalcenter.com/,0,0,0,0,0.34,navigational,"81, 0, 0, 0, 1, 0, 1, 1, 0, 1, 1, 0"
pilot institution,53,0,0,40,60,1.27,https://pilotinstructionalcenter.com/,0,0,0,0,0.34,navigational,"81, 0, 0, 0, 1, 0, 1, 1, 0, 1, 1, 0"
new century air service,21,21,0,260,18,3.65,https://pilotinstructionalcenter.com/,0,0,0,0,0.04,navigational,"43, 54, 54, 66, 66, 66, 66, 66, 54, 54, 54, 54"
centerline aviation,85,85,0,210,16,3.55,https://pilotinstructionalcenter.com/,0,0,0,0,0.1,informational,"80, 65, 53, 65, 65, 80, 100, 80, 80, 80, 65, 65"
flying lessons kansas,55,55,0,110,39,2.88,https://pilotinstructionalcenter.com/flight-training/,0,0,0,0,0.4,commercial,"34, 28, 15, 28, 65, 43, 28, 21, 43, 53, 34, 28"
new century aircenter,54,0,0,1300,35,0,https://pilotinstructionalcenter.com/,0,0,0,0,0.06,"informational, transactional","29, 16, 22, 20, 29, 81, 36, 43, 36, 22, 16, 22"
kansas flight training,18,0,0,90,27,2.88,https://pilotinstructionalcenter.com/blog/tag/kansas-city-flight-school/,0,0,0,0,0.4,commercial,"66, 23, 23, 33, 52, 52, 52, 66, 42, 52, 52, 42"
kansas flight training,45,40,-5,90,27,2.88,https://pilotinstructionalcenter.com/,0,0,0,0,0.4,commercial,"66, 23, 23, 33, 52, 52, 52, 66, 42, 52, 52, 42"
kansas city pilot training,16,25,9,210,41,2.57,https://pilotinstructionalcenter.com/,0,0,0,0,0.79,commercial,"65, 81, 43, 34, 65, 81, 81, 100, 81, 43, 65, 43"
kansas city pilot training,39,0,0,210,41,2.57,https://pilotinstructionalcenter.com/blog/tag/kansas-city-flight-school/,0,0,0,0,0.79,commercial,"65, 81, 43, 34, 65, 81, 81, 100, 81, 43, 65, 43"
kansas city pilot training,66,0,0,210,41,2.57,https://pilotinstructionalcenter.com/flight-training/,0,0,0,0,0.79,commercial,"65, 81, 43, 34, 65, 81, 81, 100, 81, 43, 65, 43"
kilo charlie aviation,69,0,0,590,32,2.09,https://pilotinstructionalcenter.com/,0,0,0,0,0.08,navigational,"59, 59, 88, 100, 88, 72, 59, 59, 48, 48, 39, 32"
fly training center,68,68,0,70,57,5.27,https://pilotinstructionalcenter.com/,0,0,0,0,0.21,commercial,"50, 50, 64, 64, 50, 50, 64, 50, 50, 100, 28, 50"
flight lessons kansas city,15,15,0,140,35,2.57,https://pilotinstructionalcenter.com/,0,0,0,0,0.79,commercial,"28, 23, 23, 35, 100, 23, 35, 35, 28, 23, 35, 35"
